scene,split,views,selection,iterations,resolution,status,runtime_sec,train_psnr,train_l1,initial_points,model_path,run_report
db/playroom,2views_quality_diverse,2,quality_diverse,3000,4,success,51.57008500000029,48.17665710449219,0.002198391454294324,4237,results\method_outputs\db\playroom\3dgs_sparse\2views_quality_diverse,results\method_outputs\db\playroom\3dgs_sparse\2views_quality_diverse\run_report.json
db/playroom,2views_quality_image_diverse,2,quality_image_diverse,3000,4,success,79.66433520000282,49.44509201049805,0.0021650317590683698,3775,results\method_outputs\db\playroom\3dgs_sparse\2views_quality_image_diverse,results\method_outputs\db\playroom\3dgs_sparse\2views_quality_image_diverse\run_report.json
db/playroom,2views_random,2,random,3000,4,success,34.830052799999976,50.56371231079102,0.0020874095149338245,1591,results\method_outputs\db\playroom\3dgs_sparse\2views_random,results\method_outputs\db\playroom\3dgs_sparse\2views_random\run_report.json
db/playroom,2views_random_seed0,2,random_seed0,3000,4,success,43.60467320000316,50.324946594238284,0.002083976333960891,1942,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed0,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed0\run_report.json
db/playroom,2views_random_seed1,2,random_seed1,3000,4,success,39.01286750000145,49.17407989501953,0.0023111103102564814,1778,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed1,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed1\run_report.json
db/playroom,2views_random_seed2,2,random_seed2,3000,4,success,37.376985399998375,49.196319580078125,0.002206686930730939,2980,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed2,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed2\run_report.json
db/playroom,2views_random_seed3,2,random_seed3,3000,4,success,34.09477419999894,48.22029418945313,0.0026119673624634744,2051,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed3,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed3\run_report.json
db/playroom,2views_random_seed4,2,random_seed4,3000,4,success,42.62113739999768,49.321824645996095,0.0023822580929845575,1677,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed4,results\method_outputs\db\playroom\3dgs_sparse\2views_random_seed4\run_report.json
db/playroom,2views_uniform,2,uniform,3000,4,success,21.649841299999935,50.735023498535156,0.0020247722044587136,2046,results\method_outputs\db\playroom\3dgs_sparse\2views_uniform,results\method_outputs\db\playroom\3dgs_sparse\2views_uniform\run_report.json
db/playroom,3views_quality,3,quality,3000,4,success,29.271015799999986,47.42742996215821,0.002489352645352483,5801,results\method_outputs\db\playroom\3dgs_sparse\3views_quality,results\method_outputs\db\playroom\3dgs_sparse\3views_quality\run_report.json
db/playroom,3views_quality_diverse,3,quality_diverse,3000,4,success,31.341630400000213,48.71712799072266,0.0023884119000285864,5541,results\method_outputs\db\playroom\3dgs_sparse\3views_quality_diverse,results\method_outputs\db\playroom\3dgs_sparse\3views_quality_diverse\run_report.json
db/playroom,3views_quality_image_diverse,3,quality_image_diverse,3000,4,success,70.82568219999666,47.61220397949219,0.0024573422968387605,5801,results\method_outputs\db\playroom\3dgs_sparse\3views_quality_image_diverse,results\method_outputs\db\playroom\3dgs_sparse\3views_quality_image_diverse\run_report.json
